source,file_id,offset,original_text,translated_text
ELF,ELF,0x005D3E,鰤韻(q鎭,
ELF,ELF,0x01F19D,礇呉窿,
ELF,ELF,0x0202FB,汐稘実7,
ELF,ELF,0x020503,鴫邃実7,
ELF,ELF,0x02874E,ベ韻輛,
ELF,ELF,0x035020,劇ョ死ｗ<,
ELF,ELF,0x035704,凰ン噫ｓ<,
ELF,ELF,0x03CCB1,ｂ術ｂ,
ELF,ELF,0x041374,怩э菘,
ELF,ELF,0x041478,怩э菘,
ELF,ELF,0x041581,ｄ妾ｂ商ｐ,
ELF,ELF,0x0415E1,ｂ匠ｄ商ｅ,
ELF,ELF,0x041A41,ｃ紹ｃ,
ELF,ELF,0x041B15,ｄ松ｅ称,
ELF,ELF,0x041B35,ｄ昇ｄ,
ELF,ELF,0x043424,烙孤艢塞p,
ELF,ELF,0x06321B,轡モ洲,
ELF,ELF,0x06480D,ヤ秋モ,
ELF,ELF,0x0648F1,ヤ渋ュ,
ELF,ELF,0x064969,ヤ汁ュ,
ELF,ELF,0x064A91,ヨ醜ム,
ELF,ELF,0x064CFD,ヰ醜ム,
ELF,ELF,0x06502D,ュ填ユ天ョ蕩,
ELF,ELF,0x065FDB,四ヤ商,
ELF,ELF,0x06B4A2,船宴ｓ`,
ELF,ELF,0x080DD8,Ｐ|oXo姉双,
ELF,ELF,0x080EC0,穩灑疵,
ELF,ELF,0x08105A,指仇層,
ELF,ELF,0x081254,党厭[}殉}}孺,
ELF,ELF,0x0813A5,゜°芳,
ELF,ELF,0x0813AD,ヾ＿◯,
ELF,ELF,0x081429,ＩＫＬ,
ELF,ELF,0x08166F,改咽郁允,
ELF,ELF,0x081697,荏運映嬰盈泳頴液駅円宴沿炎遠汚横黄襖荻憶牡下何価佳蝦嘩貨臥廻恢,
ELF,ELF,0x0816E5,晦骸崖皆芥掛確獲鈎喝鰍割勘苅椛冠寒噛乾監艦環舘危希顔,
ELF,ELF,0x081721,金岩机巌丸,
ELF,ELF,0x081747,帰記軌起紀儀擬技橘祇詰黍逆急朽旧去拠挙許漁禦,
ELF,ELF,0x081779,粂鍬君訓袈恵畦警頚撃潔桁穴訣月券芸堅,
ELF,ELF,0x0817A1,謙舷鹸元鍵幻己乎御後顧,
ELF,ELF,0x0817D5,紅肯航行香甑債裟瑳済載斎採際才碕鷺罪阪刷,
ELF,ELF,0x081813,捌雑鯖鮫傘皐産仕餐,
ELF,ELF,0x081827,残散思屍旨氏紫糸私視至雌資飼児蒔治汐鴫屡竺疾芝縞射杓弱周収狩,
ELF,ELF,0x081887,臭終洲蒐集十,
ELF,ELF,0x081897,縦重除勝哨少庄捷詳丞鞘場擾順洗,
ELF,ELF,0x0818D1,煽衆娠寝審,
ELF,ELF,0x0818E1,新森真辛塵迅勢睦垂図吹逗衰翠随勢星棲牲絶蝉食b,
ELF,ELF,0x081919,遷膳噌祖粗訴壮喪窓痩曹造足賊測揃其村詑唾陀騨岱替逮黛苔只託鐸,
ELF,ELF,0x081961,耽淡脱棚壇辿瀦,
ELF,ELF,0x081971,狸単凋猪駐兆短佃鳥長帝,
ELF,ELF,0x08199D,貼伝倒渡天堂闘働灯道敦沌楢灘豚禿鈍寅栃謎,
ELF,ELF,0x0819DB,尿燃妊納覗巴膿破,
ELF,ELF,0x0819ED,恥盃背媒濃培梅煤,
ELF,ELF,0x0819FF,狽芙賦部楓葺蕗,
ELF,ELF,0x081A11,物仏墳幣塀併弊別崩o,
ELF,ELF,0x081A25,箆蔑遍返便舗甫募補,
ELF,ELF,0x081A3F,烹豊飽訪殆暴某望棒貿睦僕枕迄抹沫蓑密務夢眠牟霧椋婿茂麺緬模邦嘩,
ELF,ELF,0x081AA1,優友幽唯悠予輿妖庸揺淋Rk窯遥羅慾浴陽螺雷酪乱梨葎率離竜龍療糧諒陵涙麗涌漑令z,
ELF,ELF,0x081B3D,傳僮僞儕僵儔儚儉儷剽劍勍勵勸匸听叺吽叮厶呰咒呶咄哈咥,
ELF,ELF,0x081B7F,哘咤咫咾,
ELF,ELF,0x081B8B,啅哺喙啗喟喘啼單喨嗅嗚坏垈埔埖墹墫壞墻壜壤壺壹壽夲梦夭奐夾奘奬,
ELF,ELF,0x081BE5,侫佞娑娥娟娉婢孚專寃尅尠尢屐屏岑峩崑嵬峪嵌嶂嶝嶬帙帚帑嶽帋,
ELF,ELF,0x081C21,懿幇幤,
ELF,ELF,0x081C4F,彁彖徃忻忸懃懍懺,
ELF,ELF,0x081C7F,戳扎拆擔拇找抉拑搜揄插抬捐掏撓擘擠擺敍效攴攤攫敞斫敖无旁曁晄晨晢,
ELF,ELF,0x081CC7,柆框栲栫梭梛梃梺桾梠椌棗棠楮棯椚杪領榻槃榧榜權槲槹樅槫櫁橸,
ELF,ELF,0x081D05,樢檐檠檢檣,
ELF,ELF,0x081D1F,櫟欒鬱歡歙歔歛歿殀殕殍毆殲殼泄沮泛,
ELF,ELF,0x0867A8,囮劔劔,
ELF,ELF,0x0867B0,囮劔劔,
ELF,ELF,0x087CD2,疏膵瓩@厳x,
ELF,ELF,0x088170,メニューへ戻りますか？,
ELF,ELF,0x0881B0,タイトルへ戻りますか？,
ELF,ELF,0x088220,クイックセーブしますか？,
ELF,ELF,0x088240,クイックセーブデータは既に存在しますが,
ELF,ELF,0x088267,　　 上書きしてもよろしいですか？,
ELF,ELF,0x088290,保存しました。,
ELF,ELF,0x0882A0,クイックセーブされていません。,
ELF,ELF,0x0882BF,クイックロードを中止します。,
ELF,ELF,0x0882E0,クイックロードしますか？,
ELF,ELF,0x088440,立絵 : chara[%2d] %d番のファイル読み込み待機,
ELF,ELF,0x088480,いいえ,
ELF,ELF,0x0893D0,パニックの停止待機中,
ELF,ELF,0x089420,履歴がありません,
ELF,ELF,0x089438,【？？？】,
ELF,ELF,0x08A043,剰撲S\攫z,
ELF,ELF,0x08A0A3,糾佐侮i,
ELF,ELF,0x08A20F,常瀬部吠庸[,
ELF,ELF,0x08A280,啅*X觝啓麓,
ELF,ELF,0x08A33D,感詣採,
ELF,ELF,0x08A423,邑兒夸N,
ELF,ELF,0x08A474,穆駢謔,
ELF,ELF,0x08A47B,屡卻參冽Q,
ELF,ELF,0x08A4D8,黌妓QYb_Юu`vaga,
ELF,ELF,0x08A573,銀股残訊奴剖,
ELF,ELF,0x08A59B,期咳鋒N,
ELF,ELF,0x08A5EC,史Zt』條,
ELF,ELF,0x08A5F5,学巨楚N,
ELF,ELF,0x08A626,充蘊躱,
ELF,ELF,0x08A683,兇向弧訊倉,
ELF,ELF,0x08A6BF,疏旆曠s,
ELF,ELF,0x08A7B8,鐐壇ce_h誨,
ELF,ELF,0x08A825,♭＊運格廓褐基管五故癒椀k起<O弘PQW[,
ELF,ELF,0x08A864,黶売桴Pl,
